PLU_Code,Name,Variety,Size,Pieces_In_A_LB,Pieces_In_A_Portion,
3159,Grapefruit,White,Extra Large,2,1,
31571,Grapefruit,White,Extra Large O,2,1,
31582,Grapefruit,White,Extra Large O,2,1,
4299,Guava,Regular,Regular,6,2,
3279,Kiwi Fruit,Golden,Regular,5,1,
4030,Kiwi Fruit,Regular,Regular,5,1,
3280,Kiwi Fruit,Jumbo,Regular,5,1,
4301,Kiwi Fruit,Retailer Assigned,Regular,5,1,
4628,Kohlrabi,Kohlrabi,Regular,6,2,
4303,Kumquat,Regular,Regular,8,2,
4033,Lemon,Lemon,Small,5,1,
4958,Lemon,Lemon,Medium,5,1,
4053,Lemon,Lemon,Large,5,1,
33626,Lemon,Lemon,Organic,5,1,
4304,Lemon,Retailer Assigned,Regular,5,1,
4631,Lettuce,Bibb,Regular,1,6,
4632,Lettuce,Boston,Butter,1,6,
3098,Lettuce,Regular,Red,1,6,
3169,Lettuce,Catalogna,Regular,1,6,
4076,Lettuce,Green Leaf,Regular,1,6,
4633,Lettuce,Hydroponic,Regular,1,6,
401,Lettuce,Iceberg,Regular,1,6,
46341,Lettuce,Regular,Organic,1,6,
3325,Lettuce,Coral Green,Regular,1,6,
3326,Lettuce,Coral Red,Regular,1,6,
4639,Lettuce,Mache,Regular,1,6,
3328,Lettuce,Mignonette,Regular,1,6,
3327,Lettuce,Mixed,Regular,1,6,
3329,Lettuce,Oak Leaf,Green,1,6,
3330,Lettuce,Regular,Red,1,6,
4075,Lettuce,Red Leaf,Regular,1,6,
4048,Lime,Regular,Regular,5,1,
4305,Lime,West Indian,Regular,5,1,
4306,Lime,Retailer Assigned,Regular,5,1,
4328,Limequat,Retailer Assigned,Regular,5,1,
4308,Loquat,Regular,Regular,9,1,
4309,Lychee,Regular,Regular,12,3,
3363,Mango,Kensington Pride,Extra Large,3,1,
4311,Mango,Green,Regular,4,1,
3364,Mango,Regular,Extra Large,3,1,
4051,Mango,Red,Small,5,1,
4959,Mango,Red,Large,3,1,
33653,Mango,Organic,Regular,4,1,
4312,Mango,Yellow,Regular,4,1,
4313,Mango,Retailer Assigned,Regular,4,1,
4316,Mango,Retailer Assigned,Regular,4,1,
4317,Melon,Yellow Honeydew,Regular,1,6,
4049,Melon,Muskmelon,Small,1,5,
43181,Melon,Regular,Organic,1,6,
4050,Melon,Regular,Large,1,7,
43191,Melon,Regular,Organic,1,6,
4320,Melon,Casaba,Regular,1,6,
3033,Melon,Charentais,Small,1,5,
3306,Melon,Regular,Medium,1,6,
3034,Melon,Regular,Large,1,7,
3307,Melon,Regular,Extra Large,1,7,
4301,Melon,Cinnabar,Regular,1,6,
4322,Melon,Crenshaw,Regular,1,6,
4324,Melon,French Afternoon,Regular,1,6,
4325,Melon,French Breakfast,Regular,1,6,
4326,Melon,Galia,Regular,1,6,
4339,Melon,Spanish,Regular,1,6,
3289,Melon,Sprite,Regular,1,6,
3421,Melon,Watermelon,Seedless,1,6,
3308,Melon,Regular,Orange,1,6,
4031,Melon,Regular,Red,1,6,
4032,Melon,Regular,Red-Seedless,1,6,
